date,circulation,n_1_1,n_1_2,n_1_3,n_1_4,n_2_1,n_2_2,n_2_3,n_2_4,prize
26.07.2020 22:00,2090,3,4,5,18,3,4,9,12,827 347 667 
26.07.2020 16:00,2089,3,6,7,16,4,11,12,16,826 546 325 
26.07.2020 13:00,2088,3,8,14,17,10,11,15,19,825 706 300.50 
26.07.2020 10:00,2087,2,4,5,6,2,6,15,18,824 618 035.50 
25.07.2020 22:00,2086,3,6,9,13,3,8,15,19,823 307 585 
25.07.2020 16:00,2085,1,4,9,18,1,12,16,17,822 382 191.50 
25.07.2020 13:00,2084,5,12,15,16,2,8,14,20,821 423 020.50 
25.07.2020 10:00,2083,2,7,15,17,9,10,18,19,820 176 952 
24.07.2020 22:00,2082,4,8,13,14,3,4,17,20,818 521 477.50 
24.07.2020 16:00,2081,9,11,18,19,2,10,12,13,817 699 341 
24.07.2020 13:00,2080,11,12,13,19,2,4,5,11,816 671 641 
24.07.2020 10:00,2079,8,9,14,20,1,9,14,20,815 287 716 
23.07.2020 22:00,2078,8,12,14,16,3,11,14,19,813 682 092 
23.07.2020 16:00,2077,4,8,9,18,1,5,9,15,812 662 468.50 
23.07.2020 13:00,2076,10,13,14,19,5,6,9,12,811 655 642 
23.07.2020 10:00,2075,1,5,7,19,11,13,15,18,810 289 623.50 
22.07.2020 22:00,2074,10,13,15,16,2,6,16,17,808 376 008 
22.07.2020 16:00,2073,5,14,17,18,2,7,17,19,807 622 236 
22.07.2020 13:00,2072,4,10,12,17,2,5,12,18,806 849 687.50 
22.07.2020 10:00,2071,1,4,16,18,9,10,11,17,805 455 974 
21.07.2020 22:00,2070,2,8,13,18,3,14,15,16,803 825 897 
21.07.2020 16:00,2069,4,11,17,20,2,4,5,6,802 872 832 
21.07.2020 13:00,2068,2,3,9,18,3,11,17,18,801 887 505 
21.07.2020 10:00,2067,2,3,11,15,3,5,6,7,800 504 851.50 
20.07.2020 22:00,2066,1,3,12,15,3,5,7,10,798 875 769 
20.07.2020 16:00,2065,10,12,14,18,1,9,16,17,797 996 215 
20.07.2020 13:00,2064,6,9,13,14,6,12,13,15,797 124 080.50 
20.07.2020 10:00,2063,5,7,11,18,4,9,11,15,796 002 632 
19.07.2020 22:00,2062,8,10,15,19,1,4,8,15,794 490 143 
19.07.2020 16:00,2061,1,2,3,8,13,14,17,19,793 607 239 
19.07.2020 13:00,2060,11,13,14,15,3,8,10,18,792 725 402.50 
19.07.2020 10:00,2059,3,5,7,17,1,8,9,13,791 831 427.50 
18.07.2020 22:00,2058,3,6,8,9,2,4,6,15,790 408 030 
18.07.2020 16:00,2057,3,5,14,15,5,9,12,17,789 663 170 
18.07.2020 13:00,2056,1,6,7,19,4,6,10,16,788 684 664 
18.07.2020 10:00,2055,8,14,17,18,10,11,13,18,787 329 864 
17.07.2020 22:00,2054,6,15,17,20,1,6,12,16,785 525 469 
17.07.2020 16:00,2053,1,4,8,16,3,6,7,19,784 770 170.50 
17.07.2020 13:00,2052,3,6,8,11,6,8,14,17,783 836 321 
17.07.2020 10:00,2051,3,9,14,20,4,11,16,18,782 566 600 
16.07.2020 22:00,2050,7,9,13,17,1,9,12,15,781 089 401 
16.07.2020 16:00,2049,3,7,9,15,5,9,10,20,780 203 369.50 
16.07.2020 13:00,2048,2,9,14,15,9,10,11,12,779 282 434 
16.07.2020 10:00,2047,5,7,12,18,5,10,11,18,778 016 987 
15.07.2020 22:00,2046,8,9,13,16,7,10,13,17,776 308 168.50 
15.07.2020 16:00,2045,3,7,12,17,7,8,9,12,775 408 621.50 
15.07.2020 13:00,2044,8,11,13,18,5,10,11,19,774 484 749.50 
15.07.2020 10:00,2043,12,14,16,20,2,10,12,18,773 479 898.50 
14.07.2020 22:00,2042,4,12,13,14,1,7,12,13,771 994 859.50 
14.07.2020 16:00,2041,3,4,11,20,6,8,12,17,771 145 039 
14.07.2020 13:00,2040,7,10,12,13,11,13,15,16,770 288 631 
14.07.2020 10:00,2039,1,4,7,20,3,5,7,18,769 347 467 
13.07.2020 22:00,2038,6,11,17,20,1,6,11,15,767 832 469 
13.07.2020 16:00,2037,2,5,14,15,1,7,16,20,766 998 842.50 
13.07.2020 13:00,2036,2,3,8,9,13,14,15,19,766 180 065 
13.07.2020 10:00,2035,2,16,19,20,5,10,13,19,765 013 688.50 
12.07.2020 22:00,2034,6,8,19,20,1,6,13,18,763 688 751 
12.07.2020 16:00,2033,2,4,16,20,4,6,11,18,762 904 989.50 
12.07.2020 13:00,2032,4,5,12,18,5,10,11,16,762 097 066 
12.07.2020 10:00,2031,6,10,12,19,2,9,12,18,761 116 126.50 
11.07.2020 22:00,2030,3,6,10,18,7,8,17,18,759 885 439 
11.07.2020 16:00,2029,4,10,15,19,2,6,16,20,759 028 606 
11.07.2020 13:00,2028,14,16,17,18,4,6,15,19,758 137 976 
11.07.2020 10:00,2027,6,9,11,18,3,8,13,17,756 995 726 
10.07.2020 22:00,2026,13,15,19,20,5,14,19,20,755 774 724.50 
10.07.2020 16:00,2025,2,4,6,7,4,8,9,17,754 944 146 
10.07.2020 13:00,2024,6,10,12,14,2,5,14,16,754 046 966 
10.07.2020 10:00,2023,7,9,16,17,5,8,11,18,752 881 114.50 
09.07.2020 22:00,2022,4,5,10,14,4,6,14,17,751 451 642.50 
09.07.2020 16:00,2021,3,11,14,15,3,8,11,18,750 598 867.50 
09.07.2020 13:00,2020,1,11,17,18,1,18,19,20,749 619 733.50 
09.07.2020 10:00,2019,11,15,16,19,1,10,11,14,748 328 026 
08.07.2020 22:00,2018,3,7,9,11,2,5,6,14,746 954 571 
08.07.2020 16:00,2017,3,10,13,15,7,13,18,19,746 204 859 
08.07.2020 13:00,2016,1,2,7,18,2,6,7,20,745 299 478 
